slot,slot_k,ttrq_aaoi,opt_aaoi,ttrq_tx,budget_es,lambda_t,lambda_star
0,0.0,15.0000,6.1828,0.0000,0.3000,3.3282,3.3282
50000,50.0,6.4085,6.1828,0.3094,0.3000,2.0957,3.3282
100000,100.0,6.4367,6.1828,0.3143,0.3000,2.2408,3.3282
150000,150.0,6.2802,6.1828,0.3180,0.3000,2.3730,3.3282
200000,200.0,6.2940,6.1828,0.3129,0.3000,2.4177,3.3282
250000,250.0,6.2984,6.1828,0.3135,0.3000,2.4943,3.3282
300000,300.0,6.2431,6.1828,0.3130,0.3000,2.5412,3.3282
350000,350.0,6.0645,6.1828,0.3247,0.3000,2.5953,3.3282
400000,400.0,6.0396,6.1828,0.3178,0.3000,2.6391,3.3282
450000,450.0,6.1558,6.1828,0.3159,0.3000,2.6894,3.3282
500000,500.0,6.0221,6.1828,0.3196,0.3000,2.7332,3.3282
550000,550.0,6.2275,6.1828,0.3148,0.3000,2.7610,3.3282
600000,600.0,6.0360,6.1828,0.3132,0.3000,2.7975,3.3282
650000,650.0,6.2135,6.1828,0.3077,0.3000,2.8222,3.3282
700000,700.0,6.1743,6.1828,0.3089,0.3000,2.8425,3.3282
750000,750.0,5.9380,6.1828,0.3166,0.3000,2.8722,3.3282
800000,800.0,5.8960,6.1828,0.3183,0.3000,2.9024,3.3282
850000,850.0,6.1008,6.1828,0.3160,0.3000,2.9172,3.3282
900000,900.0,6.2052,6.1828,0.3184,0.3000,2.9358,3.3282
950000,950.0,6.2973,6.1828,0.3110,0.3000,2.9622,3.3282
1000000,1000.0,6.2670,6.1828,0.3134,0.3000,2.9941,3.3282
